#sampleName=simulated_Ler0_1
#filename1=data/imputation_rawdata/simulated_Ler0_1.fq
HapIds	count
075fd21cd41d577edf6307c6dd68b5a2,351b7023d97efb9f17bb86ac0f426b35,76c989eee13293f26abedd63d388a374	16
94742f7cc4c4aebe6fb964253772f4fb	16
7fa0ee68618c5373041e0bf78abb17a9,b193d984ad6146c0977c1ba58eaae990	17
076df9ad652cbb0d2d42549d6563407d,7ca41ed1df8c1365b47b96e730124a04	21
56dc3d8a6d4ed06a5468b948a2897228,6b50255cb30f1a74a0b049c5add318bf	6
8f3c183c0aabd3ce49c7ddef4784c8c5,cf8509bd85b6a4b2879f5c0d8248763f,d0cc2fbed14631fc40b0a70c6817344f	74
c24392443aeb06967353d064e1479ce9,feef6cff878680ea75760414cb5e17ae	2
377383a1c4ea8eecb974d34b41e68c25	4
25bf38fa32dcc1563121580406b1274d,52175bc8fce9afb93b1b16a8ed397d78	3
5e50b70e84ca929319f64618deeec800,dba49f52e6aed96aeb2edddff27d7bff	14
56dc3d8a6d4ed06a5468b948a2897228,67f855d516a734902a4b22c3672e7c63,6b50255cb30f1a74a0b049c5add318bf	54
4cd5719edd7d2549805d6febf8fbd12f	8
56dc3d8a6d4ed06a5468b948a2897228,67f855d516a734902a4b22c3672e7c63	4
7d78775a2ab76d44a3a650b15b6356b1	3
4b1338aae852a5d0bbcdc944b17a6528	9
a67ab2595e9a57cb4b464bb26598ad13,ae2eedde2e67aab61a34429f15db1c06	3
06bb6c74d1288721ac557055ecc0286c,2e697ea66e1dfea19b3551927c4f3ec8	2
22475fff97150ab90c3da9940116edf4,34664b2baf3fa97743e2328aa7b04b31	37
6b721fd32cc784d39d3fa23ab6c32cd1	7
036cece6d0fe4117724332bb700e1dc2,75a08cecc22365b5e39c0f4c480c36e8	11
24b9f17c4a518258b515458e4e223606,7f55af0402fe0feaf9b542cdc238bcc2,c73cd7d96cbdad7f68c6181449ef4c96	6
5c39e2d865174cfa0ba7258f35caf5bb,6243ecb2e58ed67e99549363bcfde3a5,a49e02721bf84f1cf54c5fa73081bfa5	45
3a798696b35afa595c120ddb1df72ae8	9
370e118e796587e0303b3aa96d94d297,5be2ca12b0e29f293b800a9ab139eb97,8ca64a446aa21df9760bd1f30b5636a8	20
4a9603671eb58916b2fac6f4b688b0f7,9621b8f67350c2f3a05a5c720c77ddad	2
1c2101796c78336969dc60e0c9bc1bfe	9
4143cc0d1ebe043dc23b0e7a6d9a4292,7d78775a2ab76d44a3a650b15b6356b1,f2cc8815cb2d8541442e6e16356a875c	73
0c9debf788b79769638ce5d11cf6fa36,cf9ca1e9cd02713fc44575b4834e98d7	18
04fa87d5657150329dbddc465645bdfa,97fdba1243c20cc3909971be7920f851	11
0b9d5874966190559f3bb2237193f306,27dda2b93c44255b0eef1a5e48e16006,c52134940830be045308e95a45eb8066	17
c9e87a9503e678010fe8e8cc15aaf982	2
79c5716c32f7be95b545e4bcb11b5684	4
bea5b797f73bef652744e6adf8548d4a	7
4bac7fce2c769c70635559ea4f5db84b,57cfdd22a9f9525c0d7cfb1de36412f7	8
6d2c2a65e57433303b8fbc2d60fd2ed4,c07078b56432b54c90b74cdeba070d53	8
6b50255cb30f1a74a0b049c5add318bf	17
6ed8561cf96daf9e9bcfa4924d678380,bd1f0c6530f71db36ad10a75ce347674	6
747087e175e81d3417448d3fc3a68f1f,cb3bc32409ac1148ec5704b67bffbfd8,fb10362fc09c0f1d52deec964ba17dd6	60
2a65986ac18e282f070f00b38868a2cc,4011fc6e78cfa69fd54feb575db1afeb	6
4915a1dd34f367f04eb0ad9a3d456217	13
025b848075593c5d267ab2d76e757458,25d2df82336dac78ef8e6940175320a0,3d8e594fd09668a18fd3b9933a6359a2	40
02b3c66d23d56deac01f9a6a6b903584,418f5bfbe852ee8fe67abbad4d9be07f	10
2a65986ac18e282f070f00b38868a2cc,4011fc6e78cfa69fd54feb575db1afeb,9c80b90b3adabb8e875cb7988bef3c82	20
04fa87d5657150329dbddc465645bdfa	16
2cb4aa25488b404fcf30d396907fd86b,4adccfe743010bc9130e24a46dc901bd,a0ac71dd776c11ce99e4a59fbf38f6a5	18
9f51136856e132c244973ea28b7e6412,e95afeb578a9b7c4b7297368b7d5f929	35
aff79b3bdd9331fdf19010d9b93ed93b,c9569c001747e50c164ca5680dd2d2bb	4
80131ffffce835aa3b35475c38f87d38,c31bb29facde1a5fc3e1be0e565602c4,d1a68e431f796a2eb6b23d427d136d14	9
f3cc767d89f7fd8fc601a06c8d1c5364	9
1c013d92a8cde07bf75598ace32040fd,91369e9dfdec67f9e5952303c76f8ae1,fd0ea0316d44a69153f6187396487af8	10
24b9f17c4a518258b515458e4e223606,c73cd7d96cbdad7f68c6181449ef4c96	4
6bc3af08f119e1dd616dae54a33cbcc0,b48b3b41dbcbd9ea97976c2dff90ab03,fac68f8be823070f8d4d6fa62ddd0b3d	13
9824d1b71a2514abbb511d087c7c5134,a67ab2595e9a57cb4b464bb26598ad13,ae2eedde2e67aab61a34429f15db1c06	19
59417636353d95c1551dfdd93366236c	3
da20443d39afd4b3ea5154dd678b1c27	8
3e2dbbfe99696dba7843e299bc093145,578a570dbf665f53bb66147513099b11	6
5e50b70e84ca929319f64618deeec800,6da5f4c53122ee34819b9274dc297aa1,dba49f52e6aed96aeb2edddff27d7bff	36
04682820cfd921870a5152ebd27b5e79,b4c6120d21751d3774fd233ec1c46d9f,da20443d39afd4b3ea5154dd678b1c27	17
81eb85e4fcbfad547c7c1c64415b8b94,c683ab35f2ad88735888a41c454519ba	3
b1ceba7b5fb9dbfc0d3a8174c0b2113d,f870889d7d2f08861d2d6abb46a161f9	2
fc64a2ea64150fdf875d2fef8e484537,fe7e1550af676844381e9c8998dc102a	4
140f7ab18f2150c99e71363213cd6dc4,cf7ba7e66c51499f4f9c6aca175974d8	4
0c9debf788b79769638ce5d11cf6fa36	4
025b848075593c5d267ab2d76e757458,25d2df82336dac78ef8e6940175320a0	27
b1ceba7b5fb9dbfc0d3a8174c0b2113d,d6a82bd825dac2e8ef6fa234c8bcfb3f,f870889d7d2f08861d2d6abb46a161f9	16
17fe23794f13c1c99dd0f1987ccb7be6,8d11eba145e74c8c82a9acf65f0ec47c	8
36e49160a4f8ce6da9faa9c803abf068	2
b30387827dd0fcf6d5cd845d27c55571,c5b2722a5c0f8a589c1e6a1489962a9a	1
03bff0c372f345e4301ac01bf407588a,e9f8ad8658d057bec7aab7d1c6949083	27
93e909bc72cd3c90c3c4ce926833fe35,a2baa1b226019efda63949eaaf19cf5d,e6e570c03e256a09a937c7303f23071b	106
8e76d623e226c3e0cfb609691aa8d097	3
4a935af9c31995375cc58e5047bbef74	5
b83a295055bae807a0a4a03a16847f73	8
ba81146fdd063bc5528a00ad76ee64df,f3caa1831692cb3fe362d646db26b58a	3
9772edbb6785dfc70dce47b5e5edf5f1,db605bfbf6939bb6868dceff1914cbcc,f3cc767d89f7fd8fc601a06c8d1c5364	9
ed625fc44f6786e9f95fd42c5b60abc7	2
cb3bc32409ac1148ec5704b67bffbfd8,fb10362fc09c0f1d52deec964ba17dd6	6
615546ef9059cd96332645cd25ac2868,bea5b797f73bef652744e6adf8548d4a,c24e51b8e2fa20025e4eba30722fbf4f	19
39072de3ec69cfda130d8f13c5fe7aab,4a569783b4c8815d40c63cfb8edc42e7	3
1ee63d8460e337ae59c4c2d2ad156720,9d97fc465d500f5611e3743bfcd52c6b	10
24e707816fab90a9e569d96a3122de48,3af724f3d2ddf9ad3ce18bb40f9872da,710b5306e6acc726a8070ce5a46f70a2	11
a0ac71dd776c11ce99e4a59fbf38f6a5	8
bde4c5bafef8bb77f7959c1623dc51ae	9
2c83171b3c481b4b4fd57009947b140c,315f7ee5a6891ab565558cd28e8b46eb,f5aeb1e5aed69e9b941689e51b8a5cf9	12
bec0507007b15aacdb3ef42fdc54ef6d	7
a273aa5dada8a68616ccfe78264be3d3,bde4c5bafef8bb77f7959c1623dc51ae	18
c683ab35f2ad88735888a41c454519ba	2
f5aeb1e5aed69e9b941689e51b8a5cf9	8
129cacf5df4d490d84289b6a130b6e3b,404044a8b4b3fd751c7351be954b1b96,cf39c422edf8b74f3d374c5e0a2fa216	5
6bbd6a5bc3a4322c095b2326515f2e7d,9431a32d17541576b602b413a81fac56,c8e4153796d068f04112526310bac60a	9
1f3ab2996c58d0e0ccd8b2a5a607a2c8,6304a2ff7c15f5e64ffbeef6c9bd6502,a5bbe2bae2e933fb06c9f9b1a60b6837	9
4957c1afbf14407fc01471125c8aeb07	3
5f52ea5725eb3c641fb2c6657cb101d4,ede81f5a269d2a8a5e84ae846ccdc27c	6
43ba5caa15ea05530816352cd74d3713,4828a6582601c1d854b00416e2d0423f,5b7a9716781161c5578af026fc5c4a8f	12
87ab376fad1123e5070e65eede0e1724,dcf011ea6605842bd22c964a8d4ddf14	5
07d7b4226f2f1121f65c6142db974e2b,557902b78baae8bced93953efd71654a,67f28b059090842246b26f6b9db70276	13
ccf1564e961bc11eb498ab3141fee4d4	47
82fe61380b831d033fe9b5330568fbc5	7
7b74216e261e0f45bfaff4ad48bcb7cf,8bcaddd8c4cc2d95be90135e29aff0f8,b2b9ee860feb33e266e9c7c858348ea0	3
7e7fba8e3de8103291c7c00f4d2f8ef1,aa3e5e948d0a6a0cebabe2aa72d94e51,c922e387865dbe521cd4b2ada6c73fb6	14
cf8509bd85b6a4b2879f5c0d8248763f	24
4143cc0d1ebe043dc23b0e7a6d9a4292,7d78775a2ab76d44a3a650b15b6356b1	6
